GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,internal_taxon_id
10.1,,Yes,resident,Suitable,22823
3.1,,No,non-breeding,Suitable,22823
1.1,,No,breeding,Suitable,22823
4.1,,Yes,non-breeding,Suitable,22823
13.3,,No,non-breeding,Suitable,22823
17,,Yes,resident,Suitable,22823
13.1,,Yes,non-breeding,Suitable,22823
12.4,,Yes,resident,Suitable,22823
12.1,,Yes,resident,Suitable,22823
12.2,,Yes,resident,Suitable,22823
12.3,,Yes,resident,Suitable,22823
9.10,,Yes,,Suitable,6909
9.8,,Yes,,Suitable,6909
9.4,,Yes,,Suitable,6909
9.5,,Yes,,Suitable,6909
9.6,,Yes,,Suitable,6909
9.9,,Yes,,Suitable,6909
9.2,,,,Marginal,6909
12.2,,,,Marginal,6909
12.7,,,,Marginal,6909
10.1,,Yes,breeding,Suitable,60344
5.7,,,non-breeding,Suitable,60344
9.1,,,passage,Suitable,60344
5.5,,,non-breeding,Suitable,60344
5.4,,,non-breeding,Suitable,60344
5.1,,,non-breeding,Suitable,60344
9.2,,,passage,Suitable,60344
10.2,,Yes,breeding,Suitable,60344
10.3,,,passage,Unknown,60344
9.3,,,non-breeding,Suitable,60344
5.18,,,non-breeding,Suitable,60344
5.17,,,non-breeding,Suitable,60344
5.16,,,non-breeding,Suitable,60344
5.15,,,non-breeding,Suitable,60344
5.14,,,non-breeding,Suitable,60344
5.13,,,non-breeding,Suitable,60344
5.11,,,non-breeding,Suitable,60344
5.9,,,non-breeding,Suitable,60344
5.8,,,non-breeding,Suitable,60344
5.6,,,non-breeding,Suitable,60344
5.3,,,non-breeding,Suitable,60344
15.1,,,non-breeding,Suitable,60344
15.2,,,non-breeding,Suitable,60344
15.3,,,non-breeding,Suitable,60344
15.4,,,non-breeding,Suitable,60344
15.5,,,non-breeding,Suitable,60344
15.6,,,non-breeding,Suitable,60344
15.7,,,non-breeding,Suitable,60344
15.8,,,non-breeding,Suitable,60344
15.9,,,non-breeding,Suitable,60344
15.10,,,non-breeding,Suitable,60344
12.4,,,non-breeding,Suitable,60344
12.5,,,non-breeding,Suitable,60344
12.6,,,non-breeding,Suitable,60344
12.7,,,non-breeding,Suitable,60344
12.3,,,non-breeding,Suitable,60344
12.2,,,non-breeding,Suitable,60344
12.1,,,non-breeding,Suitable,60344
9.10,,,non-breeding,Suitable,60344
9.9,,,non-breeding,Suitable,60344
9.7,,,non-breeding,Suitable,60344
9.6,,,non-breeding,Suitable,60344
9.5,,,non-breeding,Suitable,60344
9.4,,,non-breeding,Suitable,60344
5.2,,,non-breeding,Suitable,60344
15.13,,,non-breeding,Suitable,60344
15.11,,,non-breeding,Suitable,60344
1.5,,Yes,resident,Suitable,37583
6,,,resident,Marginal,37583
1.6,,Yes,resident,Suitable,37583
