UTEndUse.UTEndUseSubfield.UTEndUseLookup,UTEndUse.UTEndUseSubfield.UTEndUseName,UTEndUse.UTEndUseSubfield.international,UTEndUse.UTEndUseSubfield.national,UTEndUse.UTEndUseSubfield.other,UTEndUse.UTEndUseSubfield.subsistence,internal_taxon_id
12,,false,false,,true,22823
10,,false,false,,true,22823
1,,false,false,,true,22823
3,,false,false,,true,6909
12,,false,false,,true,6909
1,,false,false,,true,6909
16,,false,false,,false,60344
1,,true,true,,true,60344
17,,false,false,,false,60344
9,,false,true,,true,37583
7,,false,true,,true,37583
12,,false,true,,true,37583
