"internal_taxon_id","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName","GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup","GeneralHabitats.GeneralHabitatsSubfield.suitability","GeneralHabitats.GeneralHabitatsSubfield.majorImportance","GeneralHabitats.GeneralHabitatsSubfield.season"
"766791-1","","","Suitable","",""
"140342-2","","","Suitable","",""
"854920-1","","","Suitable","",""
"854710-1","","","Suitable","",""
"443432-1","","","Suitable","",""
"270918-2","","","Suitable","",""
"319128-2","","","Suitable","",""
"319348-2","","","Suitable","",""
"397065-1","","","Suitable","",""
"836997-1","","","Suitable","",""
"323180-1","","","Suitable","",""
"131108-2","","","Suitable","",""
"609775-1","","","Suitable","",""
"561095-1","","","Suitable","",""
"312160-1","","","Suitable","",""
"1103484-2","","","Suitable","",""
"856750-1","","","Suitable","",""
"1182077-2","","","Suitable","",""
"60458018-2","","","Suitable","",""
"70559-2","","","Suitable","",""
"304222-1","","","Suitable","",""
"79450-2","","","Suitable","",""
"673038-1","","","Suitable","",""
"30121490-2","","","Suitable","",""
"805524-1","","","Suitable","",""
"328550-2","","","Suitable","",""
"181506-2","","","Suitable","",""
"675096-1","","","Suitable","",""
"196799-2","","","Suitable","",""
"685785-1","","","Suitable","",""
"457230-1","","","Suitable","",""
"459074-1","","","Suitable","",""
"157913-1","","","Suitable","",""
"541314-1","","","Suitable","",""
"849121-1","","","Suitable","",""
"767016-1","","","Suitable","",""
"242811-2","","","Suitable","",""
"120998-1","","","Suitable","",""
"857732-1","","","Suitable","",""
"769659-1","","","Suitable","",""
"77103945-1","","","Suitable","",""
"337150-1","","","Suitable","",""
"13112-2","","","Suitable","",""
"319092-2","","","Suitable","",""
"118574-3","","","Suitable","",""
"297578-1","","","Suitable","",""
